mac,termtype,servicecode,svcname,addr,stime,rssi,vtype,vname,ssid,apname,apmac,channel,sec,xpos,ypos,nlong,lati,flags,assid,sid,day,svcode
76-20-1A-73-72-3D," ",35021221360001,,,1562139928,-93,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700211727,20190703,0
DA-A1-19-10-E7-32," ",35021221360001,,,1562139943,-93,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700212728,20190703,0
1C-C3-EB-E6-E0-53," ",35021221360001,,,1562139954,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700213729,20190703,0
44-66-FC-E1-E9-71," ",35021221360001,,,1562139888,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700214730,20190703,0
DA-A1-19-13-F9-E2," ",35021221360001,,,1562139905,-95,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700215731,20190703,0
DA-A1-19-10-E7-32," ",35021221360001,,,1562139943,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700217032,20190703,0
44-6E-E5-95-63-18," ",35020321030004,,,1562139885,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800382324,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139867,-67,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800383725,20190703,0
B4-BF-F6-9A-07-5D," ",35020321030004,,,1562139867,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800384726,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139893,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800385727,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139924,-77,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800386728,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139925,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800387729,20190703,0
08-4A-CF-DE-A0-E3," ",35020321030004,,,1562139931,-91,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800388730,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139895,-62,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800389731,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139883,-73,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800390732,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139893,-85,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800391733,20190703,0
CC-29-F5-C0-47-35," ",35020321030004,,,1562139885,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800392734,20190703,0
